"","ID_W","idind","ID_I","origsm","OCCUP08","diplom","H5","H6","age","J1_1_1","J1_1_2","J1_1_3","J1_1_6","J1_1_7","J1_1_9","J2COD08","J6_1","J6_2","J10","J13","J13_1","J21B","J21_1_1","J21_1_2","J21_1_3","J21_1_4","J21_1_5","J21_1_6","J21_1_7","J21_1_8","J21_1_9","J211_10","J211_12","J211_11","J21_3","J23","J24","J25","J26","J60","J66_1","J72_17","J73","J79_1_5","J791_11"
"1",5,7,100301,1,9,2,2,1944,50,NA,NA,NA,NA,NA,NA,9112,NA,NA,49000,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,140000,NA,NA,1,NA,NA
"2",6,7,1010301,1,9,3,2,1944,51,NA,NA,NA,NA,NA,NA,9112,5,NA,125000,9,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,365000,NA,1,1,NA,NA
"3",7,7,1010301,1,9,2,2,1944,52,NA,NA,NA,NA,NA,NA,9621,5,NA,530000,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,680000,NA,1,1,NA,NA
"4",8,7,1010301,1,3,4,2,1944,54,NA,NA,NA,NA,NA,NA,3412,5,25,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,388,NA,4,1,NA,NA
"5",9,7,1010301,1,3,2,2,1944,56,NA,NA,NA,NA,NA,NA,3412,7,35,NA,100,NA,NA,1,1,1,2,1,2,2,2,2,2,NA,NA,NA,1,2,2,2,500,4,1,1,NA,NA
"6",10,7,1010301,1,3,2,2,1944,57,NA,NA,NA,NA,NA,NA,3412,NA,35,819.35,NA,NA,NA,1,1,NA,2,1,NA,2,2,2,NA,NA,NA,NA,1,2,2,2,3479.35,3,1,1,NA,NA
"7",11,7,1010301,1,3,2,2,1944,58,2,2,4,NA,NA,NA,3412,NA,30,1000,140,NA,NA,1,1,1,2,1,2,2,1,2,2,NA,NA,NA,1,2,2,2,2295,4,1,1,NA,NA
"8",12,7,1010301,1,3,3,2,1944,59,3,3,5,NA,NA,NA,3412,NA,30,2217.62,NA,NA,NA,1,1,1,2,2,2,2,NA,2,NA,2,NA,NA,1,2,2,2,3766.62,4,1,1,NA,NA
"9",13,7,1010301,1,3,3,2,1944,60,4,3,4,NA,NA,NA,3412,NA,40,2239,NA,NA,NA,1,1,1,1,2,NA,NA,2,2,NA,NA,2,1,1,2,2,2,3939,2,4,1,NA,NA
"10",14,7,1010301,1,3,4,2,1944,61,4,4,4,NA,NA,NA,3412,NA,35,3249,9997,NA,NA,1,1,1,2,2,2,2,2,1,NA,NA,2,2,1,2,2,2,5750,2,1,1,NA,NA
"11",15,7,10100301,1,NA,3,2,1944,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2555,4,1,1,2,1
"12",16,7,10100301,1,NA,3,2,1944,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3490,4,1,1,NA,NA
"13",17,7,10100301,1,NA,3,2,1944,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5255,4,1,1,NA,NA
"14",18,7,100301,1,NA,2,2,1944,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6140,4,NA,1,2,2
"15",19,7,1000301,1,NA,2,2,1944,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8862,2,NA,1,NA,NA
"16",20,7,1000301,1,NA,2,2,1944,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13272.34,2,NA,1,NA,NA
"17",21,7,1000301,1,NA,2,2,1944,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9748,4,NA,1,NA,NA
"18",22,7,1000301,1,NA,2,2,1944,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10640,2,NA,1,NA,NA
"19",23,7,1000301,1,NA,2,2,1944,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13180,3,NA,1,NA,NA
"20",24,7,1000301,1,NA,2,2,1944,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14514,3,NA,1,NA,NA
"21",25,7,1000301,1,NA,2,2,1944,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13915,2,NA,1,NA,NA
"22",26,7,1000301,1,NA,2,2,1944,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16076,1,NA,1,NA,NA
"23",27,7,1000301,1,NA,3,2,1944,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16640,3,NA,1,NA,NA
"24",28,7,1000301,1,NA,3,2,1944,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16374,3,NA,1,NA,NA
"25",5,37,101702,1,8,4,1,1956,37,NA,NA,NA,NA,NA,NA,8332,NA,NA,370000,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,370000,NA,NA,2,NA,NA
"26",6,37,1020702,1,8,4,1,1956,38,NA,NA,NA,NA,NA,NA,8332,13,NA,7e+05,200,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,7e+05,NA,7,2,NA,NA
"27",7,37,1020702,1,8,4,1,1956,39,NA,NA,NA,NA,NA,NA,8332,8,NA,450000,270,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,450000,NA,7,2,NA,NA
"28",8,37,1020702,1,8,4,1,1956,41,NA,NA,NA,NA,NA,NA,8332,12,60,1600,300,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1600,NA,2,2,NA,NA
"29",9,37,1020702,1,8,4,1,1956,43,NA,NA,NA,NA,NA,NA,8332,12,84,3400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3400,5,4,2,NA,NA
"30",10,37,1020702,1,8,4,1,1956,44,NA,NA,NA,NA,NA,NA,83,NA,48,4000,10,2001,NA,1,NA,2,NA,NA,NA,2,2,2,2,NA,NA,NA,2,2,1,2,4000,5,2,2,NA,NA
"31",11,37,1020702,1,NA,4,1,1956,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050,5,2,1,NA,NA
"32",12,37,1020702,1,NA,4,1,1956,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400,5,2,1,NA,NA
"33",13,37,1020702,1,8,4,1,1956,47,1,4,2,NA,NA,NA,83,NA,45,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20330,3,NA,1,NA,NA
"34",14,37,1020702,1,5,4,1,1956,48,2,3,4,NA,NA,NA,5153,NA,36,2600,9997,NA,NA,2,2,NA,2,2,2,2,2,2,NA,2,2,2,2,2,1,2,11300,4,2,1,NA,NA
"35",15,37,10200702,1,8,4,1,1956,49,1,2,2,NA,NA,NA,8332,NA,48,5000,15,NA,NA,1,NA,NA,2,NA,NA,1,1,2,NA,NA,NA,2,2,2,1,2,7200,4,2,1,2,2
"36",16,37,10200702,1,8,4,1,1956,50,3,3,3,NA,NA,NA,8332,NA,45,14000,15,NA,NA,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,1,2,14000,4,2,2,NA,NA
"37",17,37,10200702,1,8,4,1,1956,51,1,1,3,NA,NA,NA,83,NA,50,30000,200,NA,NA,1,1,NA,NA,1,NA,2,1,1,NA,1,2,2,1,2,2,2,30300,3,2,2,NA,NA
"38",18,37,102402,1,8,4,1,1956,52,3,3,4,2,2,2,8332,NA,32,22742,150,NA,42,1,1,NA,2,1,2,2,1,1,NA,1,2,2,1,2,1,1,22742,4,NA,2,2,2
"39",19,37,1002402,1,8,4,1,1956,53,3,3,3,NA,NA,NA,8332,NA,50,20514,150,NA,37,1,1,NA,2,2,2,2,2,NA,NA,1,2,2,1,2,1,1,20514,5,NA,2,NA,NA
"40",20,37,1002402,1,8,4,1,1956,54,3,3,5,NA,NA,NA,8332,NA,50,26000,50,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,26000,4,NA,2,NA,NA
"41",21,37,1002402,1,8,4,1,1956,55,3,3,5,NA,NA,NA,8332,NA,50,31000,100,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,31000,2,NA,2,NA,NA
"42",22,37,1002402,1,8,4,1,1956,56,4,3,5,NA,NA,NA,8332,NA,50,17000,90,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,17000,5,NA,2,NA,NA
"43",23,37,1002402,1,8,4,1,1956,57,5,5,5,NA,NA,NA,8332,NA,NA,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,6000,5,NA,2,NA,NA
"44",24,37,1002402,1,NA,4,1,1956,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,5,NA,2,NA,NA
"45",25,37,1002402,1,5,4,1,1956,59,3,3,3,NA,NA,NA,5419,NA,48,21600,80,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,21600,4,NA,2,NA,NA
"46",26,37,1002402,1,5,4,1,1956,60,2,2,3,NA,NA,NA,5419,NA,72,9000,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,29250,3,NA,1,NA,NA
"47",27,37,1501902,0,5,4,1,1956,61,2,2,2,NA,NA,NA,5419,NA,72,18300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,30900,4,NA,1,NA,NA
"48",28,37,1501902,0,5,4,1,1956,62,1,1,2,NA,NA,NA,5419,NA,60,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,33500,2,NA,1,NA,NA
"49",5,75,200601,1,3,5,2,1961,33,NA,NA,NA,NA,NA,NA,3142,NA,NA,129000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,168750,NA,NA,2,NA,NA
"50",6,75,2000601,1,3,5,2,1961,34,NA,NA,NA,NA,NA,NA,3142,6,NA,90000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,90000,NA,7,2,NA,NA
"51",7,75,2000601,0,3,5,2,1961,35,NA,NA,NA,NA,NA,NA,3142,6,NA,1100000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,1100000,NA,7,2,NA,NA
"52",8,75,2000601,0,3,5,2,1961,37,NA,NA,NA,NA,NA,NA,3142,6,42,780,750,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,780,NA,2,2,NA,NA
"53",9,75,2000601,0,3,5,2,1961,39,NA,NA,NA,NA,NA,NA,3141,10,70,2700,22,NA,NA,1,1,1,2,1,2,2,2,2,2,NA,NA,NA,1,2,2,1,2700,4,2,2,NA,NA
"54",10,75,2000601,0,3,5,2,1961,40,NA,NA,NA,NA,NA,NA,3141,NA,48,3900,300,NA,NA,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,2,2,2,1,3900,4,2,2,NA,NA
"55",11,75,2000601,0,3,5,2,1961,41,1,3,2,NA,NA,NA,3141,NA,70,7000,40,NA,NA,1,1,1,1,2,2,1,1,2,2,NA,NA,NA,1,2,1,1,7000,2,2,2,NA,NA
"56",12,75,2000601,0,3,5,2,1961,42,2,2,2,NA,NA,NA,3141,NA,54,7500,400,NA,NA,1,1,1,1,2,2,1,2,1,NA,2,NA,NA,2,2,1,2,7500,2,2,2,NA,NA
"57",13,75,2000601,0,3,5,2,1961,43,2,2,2,NA,NA,NA,3141,NA,56,7000,300,NA,NA,1,1,1,1,2,2,1,1,NA,NA,2,2,2,1,2,1,2,7000,3,2,2,NA,NA
"58",14,75,2000601,0,3,5,2,1961,44,3,3,4,NA,NA,NA,3141,NA,56,7000,200,NA,NA,1,1,1,1,2,2,2,2,1,NA,2,2,2,NA,2,1,2,7000,4,2,2,NA,NA
"59",15,75,20000601,0,NA,5,2,1961,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070,3,2,2,1,1
"60",16,75,20000601,0,NA,5,2,1961,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,NA,NA
"61",17,75,20000601,0,NA,5,2,1961,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,4,2,2,NA,NA
"62",18,75,107301,0,9,5,2,1961,48,2,4,4,1,2,2,9111,NA,30,7000,NA,NA,28,1,1,1,NA,2,2,1,1,NA,NA,2,2,2,2,2,1,2,7000,4,NA,2,1,2
"63",19,75,1007301,0,9,5,2,1961,49,5,5,5,NA,NA,NA,9111,NA,32,7000,NA,NA,14,1,1,1,1,2,2,2,2,NA,NA,2,2,2,2,2,1,2,7000,5,NA,2,NA,NA
"64",20,75,1007301,0,9,5,2,1961,50,3,2,2,NA,NA,NA,9112,NA,32,11000,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,11500,4,NA,2,NA,NA
"65",21,75,1007301,0,9,5,2,1961,51,2,2,2,NA,NA,NA,9111,NA,31,11000,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,11380,4,NA,2,NA,NA
"66",22,75,1007301,0,NA,5,2,1961,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9210,4,NA,1,NA,NA
"67",23,75,1007301,0,NA,5,2,1961,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,4,NA,1,NA,NA
"68",24,75,1007301,0,NA,5,2,1961,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,4,NA,1,NA,NA
"69",25,75,1007301,0,NA,5,2,1961,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12000,3,NA,1,NA,NA
"70",26,75,1007301,0,NA,5,2,1961,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13043.5,3,NA,1,NA,NA
"71",27,75,1007301,0,NA,5,2,1961,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13143,4,NA,1,NA,NA
"72",28,75,1007301,0,NA,5,2,1961,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14000,4,NA,1,NA,NA
"73",5,92,300201,1,3,4,2,1958,36,NA,NA,NA,NA,NA,NA,3359,NA,NA,50000,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,70000,NA,NA,2,NA,NA
"74",6,92,3000201,1,3,4,2,1958,37,NA,NA,NA,NA,NA,NA,3359,8,NA,1e+06,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1e+06,NA,7,2,NA,NA
"75",7,92,3000201,1,3,4,2,1958,38,NA,NA,NA,NA,NA,NA,3359,7,NA,490000,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,490000,NA,7,2,NA,NA
"76",8,92,3000201,1,3,4,2,1958,40,NA,NA,NA,NA,NA,NA,3359,8,40,89,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,89,NA,2,2,NA,NA
"77",9,92,3000201,1,3,4,2,1958,42,NA,NA,NA,NA,NA,NA,3359,7,35,1100,4,NA,NA,1,1,2,2,2,2,2,2,2,2,NA,NA,NA,1,2,2,2,1100,5,2,2,NA,NA
"78",10,92,3000201,1,3,4,2,1958,43,NA,NA,NA,NA,NA,NA,3359,NA,35,NA,4,NA,NA,1,1,1,2,1,2,2,1,2,2,NA,NA,NA,1,2,2,2,0,4,2,2,NA,NA
"79",11,92,3000201,1,3,4,2,1958,44,1,1,3,NA,NA,NA,3359,NA,35,NA,4,NA,NA,1,1,1,1,1,2,2,2,2,1,NA,NA,NA,1,2,2,2,NA,4,2,2,NA,NA
"80",12,92,3000201,1,3,4,2,1958,45,2,2,4,NA,NA,NA,3359,NA,35,NA,4,NA,NA,1,1,1,2,2,2,2,2,2,NA,2,NA,NA,1,2,2,2,0,4,2,2,NA,NA
"81",13,92,3000201,1,3,4,2,1958,46,2,2,3,NA,NA,NA,3359,NA,35,4500,4,NA,NA,1,1,2,2,2,2,2,1,2,NA,2,2,2,1,2,2,2,4500,4,2,2,NA,NA
"82",14,92,3000201,1,3,4,2,1958,47,3,3,4,NA,NA,NA,3359,NA,40,6000,4,NA,NA,1,1,1,2,2,2,2,1,2,NA,2,2,2,1,2,2,2,6000,4,2,2,NA,NA
"83",15,92,30000201,1,3,4,2,1958,48,1,1,1,NA,NA,NA,3359,NA,40,NA,NA,NA,20,1,1,1,2,2,2,2,1,2,NA,2,2,2,1,2,2,2,0,4,2,2,1,2
"84",16,92,30000201,1,3,4,2,1958,49,2,2,2,NA,NA,NA,3359,NA,40,NA,9,NA,45,1,1,2,1,2,2,2,2,2,NA,2,2,2,1,2,2,2,0,4,2,2,NA,NA
"85",17,92,30000201,1,3,4,2,1958,50,2,2,2,NA,NA,NA,3359,NA,40,NA,9,NA,10,1,1,2,2,2,2,2,2,2,NA,2,2,2,1,2,2,2,0,3,2,2,NA,NA
"86",18,92,108401,1,3,4,2,1958,51,2,2,2,2,2,2,3359,NA,40,11000,10,NA,45,1,1,1,1,2,2,2,2,1,NA,2,2,2,1,2,2,2,11000,2,NA,2,2,2
"87",19,92,1008401,1,3,4,2,1958,52,3,3,4,NA,NA,NA,3359,NA,40,3400,8,NA,45,1,1,1,2,2,2,2,2,2,NA,2,2,2,1,2,2,2,11500,4,NA,1,NA,NA
"88",20,92,1008401,1,3,4,2,1958,53,2,2,2,NA,NA,NA,3359,NA,35,6000,8,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,15300,4,NA,1,NA,NA
"89",21,92,1008401,1,3,4,2,1958,54,2,2,2,NA,NA,NA,3359,NA,40,13000,8,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,23000,3,NA,1,NA,NA
"90",22,92,1008401,1,3,4,2,1958,55,2,2,5,NA,NA,NA,3359,NA,35,5000,8,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,17000,3,NA,1,NA,NA
"91",23,92,1008401,1,3,4,2,1958,56,2,3,3,NA,NA,NA,3359,NA,37,16000,9,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,29200,2,NA,1,NA,NA
"92",24,92,1008401,1,NA,4,2,1958,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21000,3,NA,1,NA,NA
"93",25,92,1008401,1,NA,4,2,1958,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23900,5,NA,1,NA,NA
"94",26,92,1008401,1,NA,4,2,1958,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24700,3,NA,1,NA,NA
"95",27,92,1008401,1,NA,4,2,1958,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26000,3,NA,1,NA,NA
"96",28,92,1008401,1,NA,4,2,1958,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26700,5,NA,1,NA,NA
"97",5,93,300202,1,8,4,1,1954,40,NA,NA,NA,NA,NA,NA,8331,NA,NA,720000,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,720000,NA,NA,2,NA,NA
"98",6,93,3000202,1,8,4,1,1954,41,NA,NA,NA,NA,NA,NA,8331,11,NA,1e+05,350,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,3e+05,NA,7,2,NA,NA
"99",7,93,3000202,1,8,4,1,1954,42,NA,NA,NA,NA,NA,NA,8331,8,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,170000,NA,7,2,NA,NA
"100",8,93,3000202,1,8,4,1,1954,44,NA,NA,NA,NA,NA,NA,8331,12,70,200,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,260,NA,2,2,NA,NA
"101",9,93,3000202,1,8,4,1,1954,46,NA,NA,NA,NA,NA,NA,8331,8,48,30,250,NA,NA,1,1,NA,2,2,2,2,2,2,2,NA,NA,NA,2,2,1,1,30,4,2,2,NA,NA
"102",10,93,3000202,1,8,4,1,1954,47,NA,NA,NA,NA,NA,NA,8332,NA,48,3500,250,NA,NA,1,1,2,NA,NA,2,2,2,2,2,NA,NA,NA,2,2,1,1,3500,4,2,2,NA,NA
"103",11,93,3000202,1,8,4,1,1954,48,2,3,2,NA,NA,NA,8332,NA,35,2400,250,NA,NA,1,1,1,1,1,2,2,2,2,1,NA,NA,NA,2,2,1,1,2400,4,2,2,NA,NA
"104",12,93,3000202,1,8,4,1,1954,49,4,4,5,NA,NA,NA,8331,NA,84,6300,250,NA,NA,1,1,1,2,2,2,2,2,2,NA,2,NA,NA,2,2,1,1,6300,5,2,2,NA,NA
"105",13,93,3000202,1,8,4,1,1954,50,4,4,5,NA,NA,NA,8332,NA,49,6200,300,NA,NA,1,1,2,2,2,2,2,2,2,NA,2,2,2,2,2,1,1,6200,4,2,2,NA,NA
"106",14,93,3000202,1,8,4,1,1954,51,4,4,5,NA,NA,NA,8332,NA,72,6000,200,NA,NA,1,1,1,2,2,2,2,2,2,NA,2,2,2,2,2,1,1,6000,5,2,2,NA,NA
"107",15,93,30000202,1,8,4,1,1954,52,2,3,5,NA,NA,NA,8332,NA,48,11000,200,NA,NA,1,1,2,2,2,2,2,2,2,NA,2,2,2,2,2,1,1,11000,5,2,2,2,2
"108",16,93,30000202,1,8,4,1,1954,53,2,2,2,NA,NA,NA,8332,NA,72,10700,500,NA,28,1,1,2,2,2,2,2,2,2,NA,2,2,2,2,2,1,2,10700,4,2,2,NA,NA
"109",17,93,30000202,1,8,4,1,1954,54,2,4,4,NA,NA,NA,8332,NA,60,30000,230,NA,30,1,1,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,1,30000,3,2,2,NA,NA
"110",18,93,108402,1,8,4,1,1954,55,4,3,4,2,2,2,8332,NA,48,14000,250,NA,28,1,1,2,2,2,2,2,2,2,NA,2,2,2,2,2,1,1,14000,4,NA,2,2,2
"111",19,93,1008402,1,8,4,1,1954,56,4,5,5,NA,NA,NA,8331,NA,40,3700,300,NA,28,1,1,NA,2,2,2,2,2,2,NA,2,2,2,2,2,1,2,17700,3,NA,2,NA,NA
"112",20,93,1008402,1,8,4,1,1954,57,2,2,2,NA,NA,NA,8331,NA,60,28000,300,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,35300,4,NA,1,NA,NA
"113",21,93,1008402,1,8,4,1,1954,58,3,3,4,NA,NA,NA,8331,NA,50,NA,150,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,9000,4,NA,1,NA,NA
"114",22,93,1008402,1,8,4,1,1954,59,4,4,5,NA,NA,NA,8331,NA,60,11000,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,21000,5,NA,1,NA,NA
