"","ID_W","idind","ID_I","origsm","OCCUP08","diplom","H5","H6","age","J1_1_1","J1_1_2","J1_1_3","J1_1_6","J1_1_7","J1_1_9","J2COD08","J6_1","J6_2","J10","J13","J13_1","J21B","J21_1_1","J21_1_2","J21_1_3","J21_1_4","J21_1_5","J21_1_6","J21_1_7","J21_1_8","J21_1_9","J211_10","J211_12","J211_11","J21_3","J23","J24","J25","J26","J60","J66_1","J72_17","J73","J79_1_5","J791_11"
"16162",14,5117,78000902,1,NA,4,1,1964,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7000,3,2,2,NA,NA
"16163",15,5117,780000902,1,NA,4,1,1964,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000,4,2,2,2,2
"16164",16,5117,780000902,1,7,4,1,1964,43,2,2,2,NA,NA,NA,7532,NA,48,14000,25,NA,NA,1,1,2,2,2,2,2,2,2,NA,2,2,2,NA,NA,NA,2,14000,2,2,2,NA,NA
"16165",17,5117,780000902,1,7,4,1,1964,44,2,1,2,NA,NA,NA,7532,NA,48,18000,20,NA,NA,1,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,1,2,18000,2,2,2,NA,NA
"16166",18,5117,7704402,1,NA,4,1,1964,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,2,NA,2,2,2
"16167",19,5117,77004402,1,NA,4,1,1964,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46000,3,NA,2,NA,NA
"16168",20,5117,77004402,1,NA,4,1,1964,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43000,2,NA,2,NA,NA
"16169",21,5117,77004402,1,NA,4,1,1964,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48000,1,NA,2,NA,NA
"16170",22,5117,77004402,1,NA,4,1,1964,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18000,2,NA,2,NA,NA
"16171",23,5117,77004402,1,NA,4,1,1964,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85000,5,NA,2,NA,NA
"16172",24,5117,77004402,1,NA,4,1,1964,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,NA,NA,2,NA,NA
"16173",25,5117,77004402,1,NA,4,1,1964,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49000,3,NA,2,NA,NA
"16174",26,5117,77004402,1,NA,4,1,1964,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,2,NA,2,NA,NA
"16175",27,5117,77004402,1,NA,4,1,1964,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,3,NA,2,NA,NA
"16176",28,5117,77004402,1,NA,4,1,1964,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15800,2,NA,2,NA,NA
"16177",5,5118,7800903,1,NA,NA,1,1992,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16178",6,5118,78000903,1,NA,NA,1,1992,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16179",7,5118,78000903,1,NA,NA,1,1992,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16180",8,5118,78000903,1,NA,NA,1,1992,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16181",9,5118,78000903,1,NA,NA,1,1992,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
